20131113 174432.838 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         
20131113 174432.864 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         *************************************************************
20131113 174432.864 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         * BasicTest.setUpBeforeClass
20131113 174432.864 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         *************************************************************
20131113 174432.876 org.eclipse.paho.client.mqttv3.test.properties.TestProperties     <clinit>                       Property class 'org.eclipse.paho.client.mqttv3.test.properties.ClientTestProperties' not found
20131113 174432.877 org.eclipse.paho.client.mqttv3.test.properties.TestProperties     <clinit>                       Property class 'org.eclipse.paho.client.mqttv3.test.properties.MqTestProperties' not found
20131113 174432.877 org.eclipse.paho.client.mqttv3.test.properties.TestProperties     <clinit>                       Property class 'org.eclipse.paho.client.mqttv3.test.properties.ImsTestProperties' not found
20131113 174432.877 org.eclipse.paho.client.mqttv3.test.properties.TestProperties --> getServerURI                   
20131113 174432.877 org.eclipse.paho.client.mqttv3.test.properties.TestProperties     getPropertyFileAsStream        Property file: 'test.properties' not found
20131113 174432.878 org.eclipse.paho.client.mqttv3.test.properties.TestProperties     <init>                         Loading properties from: 'test.properties'
20131113 174432.878 org.eclipse.paho.client.mqttv3.test.properties.TestProperties     <init>                                              SERVER_URI = tcp://m2m.eclipse.org:1883
20131113 174432.879 org.eclipse.paho.client.mqttv3.test.properties.TestProperties     <init>                                              CLIENT_TRUST_STORE = clientkeystore.jks
20131113 174432.879 org.eclipse.paho.client.mqttv3.test.properties.TestProperties     <init>                                              CLIENT_KEY_STORE = clientkeystore.jks
20131113 174432.879 org.eclipse.paho.client.mqttv3.test.properties.TestProperties     <init>                                              CLIENT_KEY_STORE_PASSWORD = password
20131113 174432.879 org.eclipse.paho.client.mqttv3.test.properties.TestProperties <-- getServerURI                   "tcp://m2m.eclipse.org:1883"
20131113 174432.884 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         
20131113 174432.884 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         *************************************************************
20131113 174432.884 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         * BasicTest.testConnOptDefaults
20131113 174432.885 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         *************************************************************
20131113 174432.885 org.eclipse.paho.client.mqttv3.test.BasicTest                    testConnOptDefaults            Check MqttConnectOptions defaults
20131113 174432.887 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         
20131113 174432.887 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         *************************************************************
20131113 174432.887 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         * BasicTest.testMsgProperties
20131113 174432.888 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         *************************************************************
20131113 174432.888 org.eclipse.paho.client.mqttv3.test.BasicTest                    testMsgProperties              Check defaults for empty message
20131113 174432.888 org.eclipse.paho.client.mqttv3.test.BasicTest                    testMsgProperties              Check defaults for message with payload
20131113 174432.889 org.eclipse.paho.client.mqttv3.test.BasicTest                    testMsgProperties              Check qos
20131113 174432.889 org.eclipse.paho.client.mqttv3.test.BasicTest                    testMsgProperties              Check payload
20131113 174432.889 org.eclipse.paho.client.mqttv3.test.BasicTest                    testMsgProperties              Check retained
20131113 174432.890 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         
20131113 174432.890 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         *************************************************************
20131113 174432.890 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         * BasicTest.testConnect
20131113 174432.890 org.eclipse.paho.client.mqttv3.test.logging.LoggingUtilities     banner                         *************************************************************
20131113 174432.905 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   MqttAsyncClient                testConnect: <init> ClientID=testConnect ServerURI=tcp://m2m.eclipse.org:1883 PersistenceType=org.eclipse.paho.client.mqttv3.persist.MqttDefaultFilePersistence@176358a
20131113 174432.911 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          <Init>                         testConnect: <>
20131113 174432.917 org.eclipse.paho.client.mqttv3.internal.ClientState              <Init>                         testConnect: 
20131113 174432.921 org.eclipse.paho.client.mqttv3.internal.ClientState              restoreState                   testConnect: >
20131113 174432.922 org.eclipse.paho.client.mqttv3.test.BasicTest                    testConnect                    Connecting...(serverURI:tcp://m2m.eclipse.org:1883, ClientId:testConnect
20131113 174432.923 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   connect                        testConnect: cleanSession=true connectionTimeout=30 TimekeepAlive=60 userName=null password=[null] will=[null] userContext=null callback=null
20131113 174432.923 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModules           testConnect: URI=tcp://m2m.eclipse.org:1883
20131113 174432.923 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModule            testConnect: URI=tcp://m2m.eclipse.org:1883
20131113 174432.925 org.eclipse.paho.client.mqttv3.MqttAsyncClient                   createNetworkModules           testConnect: <
20131113 174432.928 org.eclipse.paho.client.mqttv3.internal.ClientComms              connect                        testConnect: state=CONNECTING
20131113 174432.928 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          open                           testConnect: >
20131113 174432.929 org.eclipse.paho.client.mqttv3.internal.ClientComms              connectBG:run                  testConnect: >
20131113 174432.929 org.eclipse.paho.client.mqttv3.internal.Token                    waitForCompletion              testConnect: key=null wait max=-1 token=key=null ,topics= ,usercontext=org.eclipse.paho.client.mqttv3.MqttAsyncClient@55bf756b ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=org.eclipse.paho.client.mqttv3.internal.ConnectActionListener@cb5efc8
20131113 174432.929 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          getOutstandingDelTokens        testConnect: >
20131113 174432.930 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: >key=null timeout=-1 sent=false completed=false hasException=false response=null token=key=null ,topics= ,usercontext=org.eclipse.paho.client.mqttv3.MqttAsyncClient@55bf756b ,isComplete=false ,isNotified=false ,exception=null ,actioncallback=org.eclipse.paho.client.mqttv3.internal.ConnectActionListener@cb5efc8
20131113 174432.930 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con message=CONNECT clientId testConnect keepAliveInterval 60
20131113 174432.930 org.eclipse.paho.client.mqttv3.internal.Token                    waitForResponse                testConnect: key=null wait max=-1
20131113 174432.930 org.eclipse.paho.client.mqttv3.internal.CommsTokenStore          saveToken                      testConnect: key=Con token=org.eclipse.paho.client.mqttv3.MqttToken@74e551a4
20131113 174432.930 org.eclipse.paho.client.mqttv3.internal.TCPNetworkModule         start                          testConnect: connect to host m2m.eclipse.org port 1,883 timeout 30,000
20131113 174432.993 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            start                          testConnect: starting
20131113 174432.994 org.eclipse.paho.client.mqttv3.internal.CommsReceiver            run                            testConnect: network read message
